cs_vol_syn_5_rrm_8_10_11_10, cs_cul_syn_3_lci_8_10_11_10, area_code, volun_abs_3_percent_6_11_6_11, cs_cul_syn_4_uci_8_10_11_10, cs_cul_syn_1_no_8_10_11_10, cs_saf_syn_1_no_8_10_11_10, cs_psup_syn_1_no_8_10_11_10, area_name, cs_gsup_syn_1_no_8_10_11_10, cs_vol_syn_3_lci_8_10_11_10, cs_gsup_syn_5_rrm_8_10_11_10, cs_vol_syn_1_no_8_10_11_10, cs_saf_syn_4_uci_8_10_11_10, cs_psup_syn_3_lci_8_10_11_10, cs_psup_syn_2_rate_8_10_11_10, cs_gsup_syn_3_lci_8_10_11_10, volun_abs_2_denom_6_11_6_11, cs_gsup_syn_2_rate_8_10_11_10, cs_cul_syn_5_rrm_8_10_11_10, cs_saf_syn_3_lci_8_10_11_10, cs_psup_syn_5_rrm_8_10_11_10, volun_abs_1_no_6_11_6_11, cs_vol_syn_2_rate_8_10_11_10, cs_gsup_syn_4_uci_8_10_11_10, cs_cul_syn_2_rate_8_10_11_10, cs_vol_syn_4_uci_8_10_11_10, cs_saf_syn_2_rate_8_10_11_10, cs_psup_syn_4_uci_8_10_11_10, cs_saf_syn_5_rrm_8_10_11_10
3.0,-0.461899577107182,20110,29.0875875367908,11.2273848405734,614.591603322263,5156.264257327,2822.47378032316,"Alpine (S)",9403.84133746665,35.8529655223975,3.0,4472.44191738779,71.9004692429187,21.2578642787813,27.5665498764866,89.8403235607064,9853.0,93.3007647614434,2.0,34.0042797475324,3.0,2866.0,43.6024631821231,96.7612059621804,5.38274263173311,51.3519608418486,52.9523744952256,33.8752354741918,3.0
3.0,-3.58047938544849,20260,26.8925817312914,12.8855709525688,479.990962925238,4830.26804611247,2598.94724977465,"Ararat (RC)",8725.90052117021,32.2277350834005,3.0,4052.46390062566,79.0344701701546,18.7303580851292,27.3831336880274,88.2572552531414,9207.0,92.975227381478,2.0,27.2358933030837,3.0,2476.0,42.942591997412,97.6931995098147,4.65254578356013,53.6574489114236,53.1351817366192,36.0359092909256,3.0
3.0,0.14030749657181,20570,20.4367160018584,10.4728456748987,3921.19601458502,38134.3331217197,20220.5635497277,"Ballarat (C)",68474.4091615294,37.8845349348366,3.0,32114.0452861525,66.8705200143533,22.9006575066731,27.9907306286771,90.4940330780791,75335.0,93.18846476235,1.0,37.8877968630079,3.0,15396.0,44.0947421435695,95.8828964466209,5.30657658573526,50.3049493523025,52.3791584386806,33.0808037506811,3.0
3.0,-1.58673324232526,20660,18.1240357914224,11.0174337628229,4721.18095279375,45365.4669947878,28541.9458494289,"Banyule (C)",91764.1635136457,29.4567783120501,3.0,36109.7775222182,64.5664578829161,23.066497907062,29.2340756817739,90.3317240848846,97230.0,93.6390746743804,2.0,28.9385892012958,3.0,17622.0,37.0235923363761,96.9464252638762,4.71535026024882,44.5904063607021,46.7525235421059,35.4016534564858,3.0
3.0,-0.751289638014124,20740,22.4469860393178,11.2120151519385,1465.36923602044,12215.873436164,6701.37303816816,"Bass Coast (S)",22837.9478415116,34.6723212761385,3.0,10565.4577243459,71.6415711764266,20.5648683052936,27.1189227001437,89.0383281069926,24569.0,92.5750101371844,2.0,32.1360958055963,3.0,5515.0,42.7433446121545,96.1116921673761,5.23036275696219,50.8143679481706,51.8888334910114,33.6729770949939,3.0
3.0,-2.77351405121597,20830,23.9099367107067,10.9001737881252,1382.83110747509,16955.9164097198,9221.7814304874,"Baw Baw (S)",30243.6264084129,35.3790949734386,3.0,14343.9846820839,73.0376810810321,21.4170579976576,28.2790565678258,89.6533951612649,34287.0,93.3741586570605,2.0,32.9206782109597,3.0,8198.0,43.7830478469157,97.0949221528563,4.0633298684546,52.1870007203929,52.9791796459959,35.141055137994,3.0
3.0,-1.96587463123634,20910,21.3246450634009,10.4835661487392,3349.77820157878,35392.3612356118,22915.6213596426,"Bayside (C)",70267.666436364,32.6215685576196,3.0,30120.7927158161,66.6528707442349,24.4944061490618,30.7188701773017,91.4377514938137,73816.0,94.8140013060012,2.0,30.2160382998843,3.0,15741.0,40.2215984696897,98.1902511181887,4.25884575875144,47.8216283817599,48.4344545220596,36.9433342055417,3.0
3.0,-0.821623873306681,21010,26.5335108743897,11.3072806429122,641.25776792922,5510.25218388078,3072.36633385873,"Benalla (RC)",10245.7328451794,35.7708322946731,3.0,4824.99522887638,71.767599240346,21.3937941891648,27.9188050810875,89.9271830051434,11265.0,93.4624621666029,2.0,32.8138368779675,3.0,2989.0,43.7893280347956,96.9977413280624,5.24282838480277,51.8078237749181,52.2907180591567,34.4438159730103,3.0
3.0,-0.394038553048126,21110,23.6098006391721,8.96258454985088,5687.5119654554,64684.5172408378,41308.8513663995,"Boroondara (C)",125035.931962407,34.7082201777001,3.0,52883.6468486797,61.6928626159156,27.0307593569347,31.5017462300716,91.7836193946921,131420.0,94.1635861434586,2.0,36.2586336533438,3.0,31028.0,40.1660105781587,96.543552892225,4.28427299840137,45.6238009786173,48.9757481346297,35.9727331032085,3.0
3.0,1.48217969095828,21180,9.00739518974678,14.4455398305176,11217.5665779935,62954.4931260969,41858.3619039691,"Brimbank (C)",130137.602655662,21.4834989916131,3.0,42289.4318358599,59.8158856537691,22.5496809354816,28.6183145265019,85.8833339484217,147934.0,89.1643635372337,1.0,25.3778589635237,3.0,13325.0,28.9143011590355,92.4453931260457,7.96385976073796,36.345103326458,42.5968723086464,34.6869481175222,3.0
