perc_individual_income, rank_primary_health_occasions, registered_mental_health, erp_2010_perc_25_44, erp_2010_perc_0_14, perc_low_english, new_settler, perc_membership_groups, perc_parents_schools, new_dwellings, erp_2010_perc_15_24, perc_population_good_facilities_services, erp_2010_perc_65_84, perc_multiculturalism, erp_2010__perc_85, lga_code, number_of_schools, erp_2010_perc_45_64, perc_pop_higher_education, perc_persons_overweight_obese
0.536620392532312,14.0,12.2234656107429,0.220883188430748,0.193337350434708,0.00367275732255991,111.904966858914,0.7427,0.4331,1.20513041232676,0.106826202978394,0.7207,0.18274941895498,0.4926,0.0267711113024017,22250,14.0,0.269432727898769,0.210084033613445,0.510165
0.445827272237487,68.0,7.9402029375562,0.283430167669024,0.170787706397444,0.0481228154538473,762.769695848773,0.6763,0.4135,9.16471616166126,0.137585540539679,0.9078,0.143765505717584,0.8464,0.0264609654521451,26980,53.0,0.237970114224124,0.541612359452931,0.46104
0.484251654573001,28.0,25.0413553134448,0.215332838970966,0.183731675318008,0.00234076629296538,102.675260966288,0.7441,0.5626,3.47955051052421,0.133306713821231,0.82,0.159032570874451,0.5955,0.0320004563344932,26260,18.0,0.276595744680851,0.295281582952816,0.592417
0.422377943400302,57.0,9.48266187857704,0.284451801144653,0.180114465267647,0.0143719098298835,262.783825234729,0.6331,0.5358,4.5355927131261,0.13724610032544,0.94,0.124911158493248,0.7764,0.021097519919201,24410,35.0,0.252178954849811,0.365910498834774,0.480442
0.498516320474777,16.0,8.71269875844043,0.210847309954258,0.178610324548029,6.85244403837369E-4,0.0,0.7679,0.6324,1.30690481376606,0.109126551949466,0.6377,0.180135046830756,0.4983,0.0257024613373993,26890,5.0,0.295578305380092,0.231472081218274,0.614828
0.439986780449229,74.0,5.00041949828006,0.248418491484185,0.162169645104455,0.0563493489423268,455.575132141958,0.6626,0.6214,6.04077523282155,0.138954610286098,0.8833,0.160827250608272,0.8227,0.0200771876835305,24210,31.0,0.269552814833459,0.523976131706966,0.455692
0.530051009092925,78.0,13.8735614062746,0.191865048084503,0.173419517578433,0.00154559505409583,0.0,0.7018,0.6694,3.46839035156866,0.105785905722844,0.6418,0.179725681854012,0.5371,0.0331073624467917,26670,11.0,0.316096484313416,0.256916996047431,0.567042
0.588871411718443,30.0,9.67558338076266,0.206317586795674,0.187962435970404,0.00165016501650165,14.2287990893569,0.7807,0.7814,1.56516789982925,0.0968981217985202,0.6423,0.190523619806488,0.5996,0.0354297097324986,21270,10.0,0.282868525896414,0.281509916826615,0.597116
0.504262165518799,33.0,25.084196771997,0.255700535546681,0.211697370116127,0.0168841778913631,103.060529657508,0.662,0.5631,5.46588880504997,0.132929679592175,0.8361,0.128991295065977,0.6909,0.0189741796565876,24780,34.0,0.251706940022452,0.278756385414832,0.569159
0.433699324324324,65.0,6.57516457468738,0.306893166287907,0.227122847230099,0.0377645715623994,477.589288857423,0.5517,0.3933,8.83990002307761,0.149413867690948,0.8744,0.0766176821469223,0.7658,0.00783856621515378,21610,74.0,0.23211387042897,0.269684936060039,0.536367
0.497198879551821,38.0,14.0743087296918,0.237815088020998,0.184233153821786,0.00369098272415031,72.4080191881251,0.722,0.4319,5.83789654704259,0.130968004706521,0.7539,0.153459745666833,0.7397,0.0225369959723039,21750,18.0,0.270987011811558,0.260473933649289,0.508186
0.601191489361702,17.0,14.0425003106748,0.194979495464148,0.177830247297129,0.00302591764241547,149.123897104511,0.6973,0.5448,3.3552876848515,0.0898471480054679,0.4886,0.189635889151237,0.4769,0.0325587175344849,23940,9.0,0.315148502547533,0.257767548906789,0.553671
0.496413298385984,11.0,27.2012800602381,0.238881829733164,0.178690761918208,0.00184200831535182,47.061038166502,0.6772,0.8182,3.85900512965316,0.12282930961457,0.7445,0.145748035201657,0.6663,0.02381288531225,22410,18.0,0.290037178220152,0.241918879967058,0.589984
0.472141823444284,5.0,15.9587090650214,0.236058376839108,0.205564784053156,0.00107802182994206,17.7978168011391,0.6663,0.5689,7.35643094447081,0.120372567631704,0.7306,0.132831039392501,0.5934,0.0228405315614618,25490,13.0,0.282332700522069,0.284036972270797,0.519018
0.48511030953779,1.0,25.9221194472993,0.226504510677173,0.201610140459061,0.00180370692872248,62.8068973392714,0.6837,0.5414,2.51227589357086,0.110140459061322,0.7592,0.159929199497545,0.5626,0.0230101632979331,21830,14.0,0.278805527006966,0.258638473439917,0.548863
0.56189276718244,3.0,13.659049120042,0.189650643551353,0.163251904386656,0.00194040194040194,91.9359075387444,0.7345,0.6517,1.18203309692671,0.0987654320987654,0.6146,0.211715261360651,0.5468,0.0350669818754925,27630,15.0,0.301549776727082,0.242550655542312,0.580476
0.49103297047537,52.0,12.5101101844363,0.352716159058062,0.163632506397592,0.0887430939226519,696.774022461184,0.5731,0.6182,8.94999933703709,0.13336824938013,0.783,0.127116509102481,0.8464,0.0220965539187738,25250,45.0,0.201070022142961,0.542829129155896,0.47291
0.554033149171271,2.0,15.1219512195122,0.20130081300813,0.171707317073171,0.00321434613432583,48.780487804878,0.7026,0.5559,1.30081300813008,0.0933333333333333,0.6612,0.204390243902439,0.55,0.0499186991869919,22980,9.0,0.279349593495935,0.264180264180264,0.558206
0.470079255435178,8.0,14.5314353499407,0.248220640569395,0.194147884539344,0.00267320115838717,143.337287465401,0.6604,0.5491,5.83234480031633,0.126235666271253,0.8845,0.147143139580862,0.6929,0.0236259391063662,23190,9.0,0.26062672993278,0.290490916119057,0.539213
