registered_mental_health, remoteness_area, lga_code, total_offences, gaming_machine_losses, perc_at_risk_alcohol, perc_membership_groups, perc_pop_higher_education, perc_persons_overweight_obese
12.2234656107429,"Accessible",22250,55.8664026857192,165.8349,13.9,0.7427,0.210084033613445,0.510165
7.9402029375562,"Highly Accessible",26980,38.7651287971071,453.6777,8.8824,0.6763,0.541612359452931,0.46104
25.0413553134448,"Accessible",26260,52.0784553077406,489.0196,16.4002,0.7441,0.295281582952816,0.592417
9.48266187857704,"Highly Accessible",24410,55.1508856095463,831.4869,10.4,0.6331,0.365910498834774,0.480442
8.71269875844043,"Moderately Accessible",26890,21.5270747113919,0.0,12.3842,0.7679,0.231472081218274,0.614828
5.00041949828006,"Highly Accessible",24210,28.9538325362866,686.8253,5.2,0.6626,0.523976131706966,0.455692
13.8735614062746,"Accessible",26670,32.3810026801198,80.8267,11.6352,0.7018,0.256916996047431,0.567042
9.67558338076266,"Moderately Accessible",21270,48.9025327262379,0.0,9.5,0.7807,0.281509916826615,0.597116
25.084196771997,"Moderately Accessible",24780,90.252654728822,603.4244,15.4,0.662,0.278756385414832,0.569159
6.57516457468738,"Highly Accessible",21610,53.3648152421781,625.3168,10.7357,0.5517,0.269684936060039,0.536367
14.0743087296918,"Highly Accessible",21750,56.6846947549441,446.4532,11.7,0.722,0.260473933649289,0.508186
14.0425003106748,"Accessible",23940,46.3840561700013,0.0,12.1,0.6973,0.257767548906789,0.553671
27.2012800602381,"Accessible",22410,69.0761729963763,418.2733,14.0,0.6772,0.241918879967058,0.589984
15.9587090650214,"Accessible",25490,32.4581869957285,0.0,13.9,0.6663,0.284036972270797,0.519018
25.9221194472993,"Accessible",21830,35.28364736782,269.6331,16.4,0.6837,0.258638473439917,0.548863
13.659049120042,"Moderately Accessible",27630,37.1039532440242,0.0,11.1,0.7345,0.242550655542312,0.580476
12.5101101844363,"Highly Accessible",25250,69.5173318394569,577.43,5.6,0.5731,0.542829129155896,0.47291
15.1219512195122,"Moderately Accessible",22980,28.0404390243902,0.0,8.8,0.7026,0.264180264180264,0.558206
14.5314353499407,"Accessible",23190,87.0338671411625,623.3249,9.8,0.6604,0.290490916119057,0.539213
9.41461595824012,"Highly Accessible",24600,273.143430483056,711.7313,10.1,0.6518,0.732963621567859,0.347425
9.87861419817805,"Highly Accessible",20830,44.5951259290324,400.6032,11.0,0.6395,0.287300864815658,0.512713
19.2687747035573,"Highly Accessible",27170,74.0132301273606,294.33,11.3,0.546,0.261575466025256,0.551717
17.1932220222208,"Highly Accessible",23350,26.8268946682391,0.0,19.7,0.7025,0.334781709083385,0.510488
9.68217048024531,"Highly Accessible",20660,51.8735788618017,601.2545,10.6,0.5851,0.48555182699478,0.496025
7.03805742535706,"Highly Accessible",21110,33.4486794055703,153.4116,6.2,0.733,0.694993998446657,0.321365
10.4759591522077,"Highly Accessible",21180,80.828433991953,1004.3683,4.7,0.4703,0.345092991488915,0.521993
18.2227047146402,"Highly Accessible",21670,72.3652683002481,781.2404,13.1204,0.6289,0.200493305144468,0.505622
12.1936530654178,"Highly Accessible",21890,72.0952536152304,787.3556,11.2,0.5588,0.552051763121182,0.456807
14.8660250327595,"Moderately Accessible",22110,67.6011025258687,696.414,14.9,0.6719,0.251427535575093,0.592076
13.0459444129325,"Highly Accessible",22170,88.3704680290046,696.7531,12.2,0.5003,0.25999112557314,0.496747
18.6578624078624,"Highly Accessible",22620,51.4452059659091,563.9843,11.6,0.5653,0.32312493196415,0.568754
7.74805390960846,"Highly Accessible",22310,36.5362568258394,718.1236,6.9,0.5993,0.605264713415956,0.436999
10.6309271207725,"Highly Accessible",22670,91.1923367831522,1110.08,7.2,0.4872,0.337755174621239,0.451241
17.3048077682166,"Highly Accessible",22830,85.5311865477224,640.2962,12.1,0.5564,0.297256207920075,0.533413
13.1561373046614,"Highly Accessible",22910,44.5873180178977,217.8556,11.0,0.641,0.357914513856271,0.469412
9.63767699411776,"Highly Accessible",27260,70.0254041245936,729.9757,12.0,0.5333,0.318634333120613,0.5252
12.7328542524245,"Highly Accessible",23270,73.4283175190121,777.2567,5.9,0.4991,0.275167785234899,0.534582
10.777599854633,"Highly Accessible",23110,60.089381395296,746.523,11.3,0.5717,0.428115789898664,0.564967
8.17039575354431,"Highly Accessible",23430,56.4033938050124,745.7971,9.4,0.6094,0.400741661855487,0.457917
7.25938944714018,"Highly Accessible",26490,40.9458449547243,202.0632,16.284,0.7037,0.405913645923543,0.437246
8.02809834420472,"Accessible",24250,49.3047415955846,234.4592,17.1,0.7372,0.287275907302143,0.464291
8.95767381873608,"Highly Accessible",24130,38.0586844882167,298.2479,10.0,0.647,0.35831694848604,0.534379
19.7762684778266,"Highly Accessible",26430,41.2798641630044,175.3957,18.118,0.7195,0.270634920634921,0.575031
11.7016022827041,"Highly Accessible",24330,105.84056738367,984.9227,5.6,0.527,0.552003816793893,0.442241
6.5887939862485,"Highly Accessible",24970,46.2605673902524,850.1481,8.9,0.6724,0.550419559020116,0.439812
