rank_membership_groups, registered_mental_health, perc_membership_groups, lga_code, perc_persons_not_physical, lga_name, total_offences, gaming_machine_losses, perc_at_risk_alcohol, lga, perc_pop_higher_education, perc_adolescents_bullied, perc_persons_overweight_obese
13.0,7.25938944714018,0.7037,26490,18.0813,"SURF COAST",40.9458449547243,202.0632,16.284,"SURF COAST",0.405913645923543,"NA",0.437246
5.0,8.02809834420472,0.7372,24250,20.9688,"MANSFIELD",49.3047415955846,234.4592,17.1,"MANSFIELD",0.287275907302143,"NA",0.464291
40.0,8.95767381873608,0.647,24130,22.9303,"MACEDON RANGES",38.0586844882167,298.2479,10.0,"MACEDON RANGES",0.35831694848604,"NA",0.534379
10.0,19.7762684778266,0.7195,26430,21.6915,"STRATHBOGIE",41.2798641630044,175.3957,18.118,"STRATHBOGIE",0.270634920634921,"NA",0.575031
73.0,11.7016022827041,0.527,24330,25.9018,"MARIBYRNONG",105.84056738367,984.9227,5.6,"MARIBYRNONG",0.552003816793893,"4042.1%",0.442241
24.0,6.5887939862485,0.6724,24970,28.4828,"MONASH",46.2605673902524,850.1481,8.9,"MONASH",0.550419559020116,"5087.5%",0.439812
18.0,17.6429075511644,0.697,25430,19.5519,"MOUNT ALEXANDER",48.6672493349981,227.2595,6.1,"MOUNT ALEXANDER",0.373911397198031,"NA",0.496821
36.0,5.85815779633554,0.6519,25710,26.4412,"NILLUMBIK",31.1977751464539,204.3369,14.9,"NILLUMBIK",0.438323090430202,"3667.9%",0.414456
49.0,12.3269252481294,0.6295,25900,21.5267,"PORT PHILLIP",89.5600273019327,328.0565,14.9,"PORT PHILLIP",0.667994296110537,"3862.5%",0.377564
25.0,7.39404689539716,0.6721,26350,25.6201,"STONNINGTON",75.0223057069685,265.6243,10.1179,"STONNINGTON",0.690737759257505,"3450.9%",0.39511
39.0,16.193603526607,0.6514,26610,28.894,"SWAN HILL",73.9893617021277,403.877,13.1094,"SWAN HILL",0.259382633799689,"NA",0.587611
20.0,12.0374657217137,0.689,26170,18.4574,"SOUTH GIPPSLAND",35.0360696606004,302.785,8.1,"SOUTH GIPPSLAND",0.26571702506506,"NA",0.465445
8.0,11.7682558841279,0.7314,26080,18.1079,"QUEENSCLIFFE",32.2124321062161,723.686,11.9264,"QUEENSCLIFFE",0.473861720067454,"NA",0.358023
29.0,29.4793939036613,0.667,26730,29.9206,"WARRNAMBOOL",64.6553740935087,769.9971,14.1088,"WARRNAMBOOL",0.320175438596491,"NA",0.532512
77.0,10.3988705008607,0.4955,27070,29.8709,"WHITTLESEA",60.2678060510724,821.5336,6.2,"WHITTLESEA",0.299124193335967,"3703.9%",0.550786
27.0,11.7230587692071,0.6677,21370,30.1095,"CAMPASPE",67.1908165097607,257.7735,12.6078,"CAMPASPE",0.2421926910299,"NA",0.579708
60.0,13.3140558209706,0.5987,27350,24.8838,"YARRA",125.724067136032,464.9326,16.0,"YARRA",0.727225625552406,"4314.2%",0.424995
30.0,6.84600598254577,0.6666,20910,20.1377,"BAYSIDE",35.8039482746215,250.5094,13.5,"BAYSIDE",0.597869101978691,"2949.7%",0.408612
58.0,6.45134891841021,0.6058,21450,30.4009,"CARDINIA",52.0889317766442,363.4812,10.3996,"CARDINIA",0.256553846153846,"4645.7%",0.531636
74.0,8.70741950536631,0.5162,24650,29.2079,"MELTON",67.0040979934671,608.3373,5.7,"MELTON",0.293002984508977,"5423.3%",0.581687
11.0,17.0364226968001,0.7165,26700,21.581,"WANGARATTA",64.4044301610339,377.3194,10.4801,"WANGARATTA",0.290590405904059,"NA",0.575253
35.0,16.4775376962537,0.66,20110,26.0961,"ALPINE",30.1607259443494,308.9195,11.6,"ALPINE",0.292140921409214,"NA",0.559862
42.0,22.5285104596656,0.644,21010,28.1876,"BENALLA",62.2546001539215,468.1479,9.3,"BENALLA",0.273594909862142,"NA",0.539362
41.0,13.6665902315983,0.6454,26810,23.9987,"WELLINGTON",62.5470992891539,705.2814,9.5441,"WELLINGTON",0.248956110234759,"NA",0.551327
56.0,10.354242757349,0.6128,25060,27.2614,"MOONEE VALLEY",66.3020362753094,874.1033,7.7,"MOONEE VALLEY",0.520117974943854,"4469.6%",0.449779
51.0,13.7896616936331,0.627,23810,26.9079,"LATROBE",100.764220424459,846.3021,9.7,"LATROBE",0.235122154938401,"NA",0.536523
28.0,9.58479212982068,0.6672,25340,28.2197,"MORNINGTON PENINSULA",52.9167667301215,714.3408,16.8,"MORNINGTON PENINSULA",0.311627583971851,"4193.2%",0.467064
19.0,12.0746432491767,0.6901,20740,20.2997,"BASS COAST",62.1329082456254,747.9083,17.2,"BASS COAST",0.267306196525797,"NA",0.51105
64.0,11.2563797804656,0.5683,25150,28.6685,"MOORABOOL",42.7577186604209,389.3226,7.0,"MOORABOOL",0.291903114186851,"NA",0.531475
38.0,12.6233709580675,0.6516,22750,23.8563,"GREATER GEELONG",62.5807723067416,682.0574,11.9,"GREATER GEELONG",0.329529220239875,"NA",0.541472
52.0,21.1209047064693,0.6248,20260,28.1661,"ARARAT",72.8334774654914,552.9145,10.0,"ARARAT",0.24956124956125,"NA",0.591836
44.0,16.8886001948685,0.6407,25810,28.8488,"NORTHERN GRAMPIANS",77.5790191620656,585.6495,11.8,"NORTHERN GRAMPIANS",0.242642026009582,"NA",0.530035
46.0,15.0368898092552,0.6387,20570,24.4215,"BALLARAT",87.2594961341145,756.3957,11.5,"BALLARAT",0.368235846105724,"4896.9%",0.49976
55.0,8.85906040268456,0.6128,22490,21.6201,"GOLDEN PLAINS",26.918877852349,0.0,10.4,"GOLDEN PLAINS",0.269857859531773,"NA",0.491951
54.0,11.6984402079723,0.6157,25990,27.9233,"PYRENEES",36.2459272097054,0.0,14.3,"PYRENEES",0.250779787897692,"NA",0.566952
68.0,13.1263554388768,0.5561,24850,35.2619,"MITCHELL",74.1367052847849,574.1263,11.0,"MITCHELL",0.240642387455741,"NA",0.562992
47.0,13.476490188819,0.6383,25620,18.435,"MURRINDINDI",48.9996149574232,114.647,13.9,"MURRINDINDI",0.291619606957307,"NA",0.568905
71.0,8.5988904246578,0.5359,23670,25.53,"KNOX",46.2534717223896,695.3828,13.4,"KNOX",0.345468694134225,"4617.5%",0.493879
53.0,9.24779291335437,0.6241,27450,26.2953,"YARRA RANGES",39.5506671194024,279.2982,12.8,"YARRA RANGES",0.300569769232461,"4743.6%",0.509186
12.0,12.6595201633486,0.7063,24900,25.0995,"MOIRA",42.4117338778288,81.3886,17.2,"MOIRA",0.218084267003314,"NA",0.592417
