,lga_code,volunteering_12m,support,perc_population_good_facilities_services,feel_safe,perc_membership_groups,perc_parents_schools,norms,rank,lga_name,volunteering_norm,support_norm,feel_safe_norm,name
0,20110,51.3519608418486,96.7612059621804,0.7771,71.9004692429187,66.0,0.5151,0.5857922816053056,25.0,GANNAWARRA,0.6424527120276045,0.5484966410412332,0.5664274917470793,
1,20260,53.6574489114236,97.6931995098147,0.8208,79.03447017015459,62.480000000000004,0.511,0.7483130208825567,8.0,WHITEHORSE,0.7367836338472613,0.6564714776486493,0.8516839511517594,
2,20570,50.3049493523025,95.8828964466209,0.8339,66.87052001435329,63.870000000000005,0.4699,0.47055241020275274,45.0,SOUTHERN GRAMPIANS,0.5996133843086531,0.44674129447902017,0.36530255182058496,
3,20660,44.590406360702104,96.94642526387621,0.9169,64.5664578829161,58.51,0.5749,0.4029755642878337,50.0,MAROONDAH,0.3657982042218193,0.5699549696830017,0.27317351895868014,
4,20740,50.814367948170606,96.1116921673761,0.6713,71.6415711764266,69.01,0.5546,0.5499266994975138,29.0,WEST WIMMERA,0.6204566609989428,0.47324810949692014,0.5560753279966786,
5,20830,52.187000720392895,97.0949221528563,0.8079999999999999,73.03768108103209,63.949999999999996,0.5053,0.625225792122814,16.0,MANNINGHAM,0.6766190486652858,0.5871588734707845,0.6118994542323719,
6,20910,47.8216283817599,98.19025111818871,0.9453,66.65287074423489,66.66,0.5727,0.5228875789552073,33.0,TOWONG,0.4980062845293202,0.7140567112973865,0.35659974103891556,
7,21010,51.8078237749181,96.9977413280624,0.8590000000000001,71.767599240346,64.4,0.4339,0.5993731526598256,22.0,BULOKE,0.6611047151619278,0.5759001220501019,0.5611146207674472,
8,21110,45.6238009786173,96.543552892225,0.9506,61.6928626159156,73.3,0.5281,0.36321085292774097,55.0,MILDURA,0.40808038654921786,0.5232807425779977,0.1582714296560074,
9,21180,36.345103326458,92.4453931260457,0.7771,59.8158856537691,47.03,0.5161,0.0533828573019747,78.0,CASEY,0.02843491608906397,0.04849405304833741,0.08321960276852272,
10,21270,51.9742019426633,97.623300525301,0.6423,72.2402822881799,78.07,0.7814,0.6321002399078197,15.0,COLAC OTWAY,0.6679122133837527,0.6483734264861187,0.5800150798535877,
11,21370,48.7717955592832,95.73860675969699,0.8067,66.6379491792785,66.77,0.5867,0.44097035125620576,47.0,LODDON,0.5368831483575841,0.43002481032600137,0.3560030950850318,
12,21450,44.3173006575235,95.722287551134,0.7109,64.03997764817879,60.58,0.4901,0.34495999540148387,58.0,GLENELG,0.3546238619751501,0.42813417075813753,0.2521219534711638,
13,21610,39.4932312544766,93.98473510074209,0.8744,58.364235218098095,55.169999999999995,0.3933,0.13641673527731732,76.0,MOYNE,0.1572431339129559,0.22683241024262638,0.025174661676369628,
14,21670,49.179716543508796,95.706843192498,0.7795,70.47564073453451,62.89,0.5258,0.4964578305556458,41.0,CORANGAMITE,0.5535735676138746,0.4263448857309379,0.509455038322125,
15,21750,49.95472131896089,96.21504984575041,0.7539,69.7310674951399,72.2,0.4319,0.5167296366889217,37.0,YARRIAMBIACK,0.5852835191195048,0.48522247183334993,0.47968291911391037,
16,21830,51.421373309891,97.00866914431231,0.7592,72.0372032746471,68.37,0.5414,0.5981179322388747,23.0,MORELAND,0.645292779682964,0.5771661492420865,0.5718948677915735,
17,21890,40.8881423135851,94.99216952490299,0.8985,62.6740147772921,55.879999999999995,0.6162,0.25178922434588336,70.0,HINDMARSH,0.21431705582936617,0.3435473463251475,0.19750327088313643,
18,22110,50.3255653787131,96.1531631804327,0.757,69.937334677194,67.19000000000001,0.5006,0.5221467314628863,34.0,HORSHAM,0.6004569058177143,0.4780526769427955,0.487930611628149,
19,22170,41.9970361300378,95.9597714493676,0.8984,63.1450670446754,50.029999999999994,0.5258,0.3105581381531546,62.0,MELBOURNE,0.25968834934700447,0.4556475426841048,0.2163385224283545,
20,22250,54.033496441646,98.4659348814366,0.7207,79.9632767023427,74.27,0.4331,0.7956627760930374,5.0,BAW BAW,0.7521699247771569,0.7459956762908304,0.8888227272111248,
21,22310,45.2724642238379,96.4704528878698,0.9467,65.7747009113035,59.93000000000001,0.5944,0.410000898841709,49.0,WODONGA,0.3937051571195654,0.5148118416437706,0.321485697761791,
22,22410,49.5538240940438,96.1801795344657,0.7445,69.6899456778113,67.72,0.8182,0.5093672486045538,38.0,INDIGO,0.5688804826950555,0.4811826196552158,0.47803864346339014,
23,22490,50.414272709070396,95.8402094302733,0.5444,70.44550148946921,61.28,0.4609,0.5180440644071042,36.0,BANYULE,0.6040864384772812,0.44179584863651455,0.5082499061075166,
24,22620,48.11810311127561,95.00907790552179,0.755,62.636281510246604,56.53,0.5654,0.3505458403933024,57.0,BOROONDARA,0.5101367895189234,0.3455062436149895,0.19599448804599431,
25,22670,35.65014181714471,92.0268127793672,0.7765,59.7901885931106,48.72,0.3896,0.027397364478218538,79.0,BRIMBANK,0.0,0.0,0.08219209343465561,
26,22750,41.454715471951104,95.0524133247954,0.8571,57.7346401508492,65.16,0.439,0.19600855575946827,73.0,CENTRAL GOLDFIELDS,0.23749885798754952,0.3505268092908553,0.0,
27,22830,51.479249289038,96.8124993644832,0.8237,72.5253813382071,55.64,0.4464,0.5978382976613049,24.0,DAREBIN,0.6476608225005345,0.554439167946856,0.5914149025365246,
28,22910,50.131815143505,95.7742655832527,0.6409999999999999,69.84807874453101,64.1,0.5674,0.5036823806322938,39.0,EAST GIPPSLAND,0.5925294571654536,0.4341560145138558,0.4843616702175718,
29,22980,54.7753560113151,98.93799444033199,0.6612,80.80762840174809,70.26,0.5559,0.8352645798684492,2.0,FRANKSTON,0.7825237131966825,0.8006854902601209,0.9225845361485436,
30,23110,41.3415126622195,95.2420394210263,0.8816,63.4787270338072,57.17,0.5945,0.2783476105158901,66.0,GREATER BENDIGO,0.23286707284171446,0.37249568108080094,0.22968007762515483,
31,23190,52.956559961624606,97.4402389892735,0.8845,72.96168132831079,66.03999999999999,0.5491,0.6480439473634515,12.0,GLEN EIRA,0.7081061917037683,0.627165082831975,0.6088605675546112,
32,23270,38.71550898229229,93.58379386215641,0.7782,58.3161787967424,49.91,0.45,0.1096856694260978,77.0,GREATER DANDENONG,0.1254219938155588,0.1803819119153034,0.023253102547431206,
33,23350,52.37033494212071,97.298578140679,0.7904,73.6239059181333,70.25,0.7228,0.6434044710595209,14.0,GREATER SHEPPARTON,0.6841203176438158,0.610753159144859,0.6353399363898882,
34,23430,43.0357956422163,95.8875373763248,0.895,64.2505275877188,60.940000000000005,0.488,0.336669965944235,60.0,HEPBURN,0.3021900406920386,0.44727896303665843,0.260540894104008,
35,23670,41.7510637304979,95.5463060067168,0.9343,60.4026556963387,53.59,0.3205,0.2546840477944383,67.0,WYNDHAM,0.2496241883144691,0.4077460698398429,0.10668188522900302,
36,23810,48.2960319151019,95.2917943045726,0.7974,66.3841148813158,62.7,0.4283,0.4138434216599265,48.0,HUME,0.5174168914221603,0.3782599650020461,0.3458534085555731,
37,23940,49.9853848221983,96.22068074290709,0.4886,72.6446056503668,69.73,0.5448,0.5561983723532536,28.0,HOBSONS BAY,0.586538141325005,0.485874831715013,0.5961821440197427,
