survey,longitud,ID,gender,age,agegrp,postcode,income,alone,children,other,parents,partner,relation,studypt,work,workpt,workvol,lifesat,s1mat,s2hea,s3pro,s4int,s5saf,s6com,s7sec,s8cont,nbhsat,n1tru,n2sop,n3goa,n4env,n5ame,n6sha,austlife,a1eco,a2env,a3soc,a4gov,a5bus,a6nat,happy,content,satisfied,excited,dass01,dass02,dass03,dass04,dass05,dass06,dass07,dass08,dass09,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,le1,le2,le03mat,le03int,le03pro,le03hea,le03saf,le03com,le03sec,le04,pcntrl01,pcntrl02,pcntrl03,scntrl01,scntrl02,scntrl03,rcntrl01,rcntrl02,rcntrl03,ses01,ses02,ses03,ses04,ses05,ses06,ses07,ses08,ses09,ses10,lot01,lot03,lot06,tipi01,tipi02,tipi03,tipi04,tele79,tele80A,tele80B,tele80C,tele81,tele82A,tele82B,tele83,tele84,tele85,tele86,tele87,tele88,tele89,tele90,tele91,tele92,tele93,tele94,tele95,tele96,tele97,tele98,tele99,tele100,tele101,tele102,tele103,tele104,tele105,tele106,tele107,tele108,tele109,tele110,tele111,tele112,tele113,tele114A,tele114B,tele114C,tele114D,tele114E,tele114F,tele114G,tele115A,tele115B,tele115C,tele115D,tele115E,tele115F,tele115G
1006,25227,670,0,31,1,2154,5, ,1, , ,1,0, ,0, , ,7,7,6,7,6,7,7,6,7,8,7,6,7,8,7,4,7,6,6,6,5,5,5,7,7,7,7,4,3,3,2,2,4,0,1,2,1,0,3,1,2,1,1,4,2,2,0,0,1,9,1,1, , , ,1, ,1,6,8,8,8,6,7,2,6,7,7,3,8,8,2,6,9,9,1,9,7,7,7,8,7,8,8,6,7,35,2,5,1,12,0,0,4,5,6,2,3,6,6,6,5,4,4,5,7,7,5,3,4,6,4,4,6,2,2,3,8,8,5,3,3,3, ,4, ,5,2,3,1, , , , , , 
1006,25236,671,0,37,2,5073,5.1, , ,1,1, ,3,1,6,1, ,5,10,5,7,3,10,0,8,5,5,9,1,5,9,5,5,9,9,9,8,8,9,5,5,3,3,3,8,7,0,0,5,2,0,5,5,0,5,7,6,9,0,0,0,5,0,0,0,2,9, , ,1, , , ,1,2,5,10,8,5,10,8,0,0,3,7,0,10,10,0,0,10,5,0,5,5,7,8,7,5,7,3,6,20,5,15,5,4,3,0,3,5,3,2,0,0,2,5,0,8,8, , ,9,2,0,0, , ,5,0,7,9, , ,7,9,5,5,5,1,4,5, ,2, ,3,1, ,3, ,2, ,4
1006,25237,672,0,61,4,4806,2,1, , , , ,5, ,0, , ,8,8,6,9,9,8,8,7,8,8,8,8,8,8,7,9,9,7,8,8,7,9,8,8,8,8,8,6,0,7,0,1,0,0,4,0,0,0,1,1,3,0,1,0,0,0,0,0,0, , , , , , , , , ,6,8,8,8,9,7,0,4,1,8,0,8,9,8,7,8,9,1,9,8,6,8,4,0,5,6,4,4, ,1,2, , ,0,0,8,8,7,5,8,8,8,8,4,3,7,8,8,8,1,0,5,6,0,0,0,0,0,0,8,1,0,8,8, , , , , , , , , , , , , , 
1006,25239,673,0,68,5,3198,1, , , , ,1,0, ,2,1, ,7,7,8,7,8,8,8,8,9,7,6,6,6,7,7,5,9,6,7,8,5,7,6,8,8,8,7,3,2,3,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , ,1,7,7,8,8,7,1,6,7,10,1,8,8,1,1,9,0,0,9,8,8,8,7,2,8,8,4, , ,15,7, , ,3,4,8,10,9,5,8,10,7,9,9,2,2,1,2,8,8,0,0,0,0,0,0,0,0,0,10,9,0,10,10,2, , , , ,1, ,2, , , , ,1,3
1006,25242,674,0,33,1,3071,3, , ,1, , ,2,1,0, , ,7,6,6,7,6,7,5,7,6,6,5,5,5,6,5,5,6,6,4,3,0,5,5,6,6,6,5,4,6,3,0,3,6,0,0,4,0,7,5,2,4,0,1,0,3,0,0,0,0, , , , , , , , , ,9,6,7,7,5,5,5,6,6,7,6,7,5,4, ,6,5,4,6,6,6,6,7,5,5,7,3,30,30, ,1,14,5,1,1,7,7,3,0,0,3,7,8,4,0,0,0,0,0,0,0,0,0,7,7,5,0,0,5,8,5,6,7,6,2,4,1,3, ,5, ,3, ,1,2, , , 
1006,25244,675,0,44,2, , , , , , , , , , , , ,9,8,7,8,9,8,9,8,9,5,7,8,6,8,8,8,9,9,8,8,9,9,9,9,9,9,9,6,0,0,0,1,1,0,1,0,0,1,1,1,3,0,1,1,1,0,1,0,0, , , , , , , , , ,4,9,9,9,9,9,0,5,5,8,1,7,9,0,0,9,6,0,10,9,9,10,7,0,7,9,6,10,50,2,4,5,15,1,1,8,10,10,10,8,9,10,10,10,10,10,10,2,2,2,2,2,2,9,9,10,10,6,10,10,10,10,10,10,4,2,1, , ,3, ,2,3,1, , ,4, 
1006,25246,676,1,45,2,2113,5.1, ,1, , ,1,0, ,4, , ,9,9,8,8,10,8,7,7,8,9,7,6,7,8,7,4,8,8,6,7,7,8,8,9,10,8,6,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0, , , , , , , , , ,8,10,9,5,10,8,0,8,4,9,0,10,10,0,1,10,0,0,10,8,9,10,7,1,4,9,4,25, ,7,0,3, ,0,3,9,10,4,4,7,7,8,10,5,2,5,5,5,3,9,0,0,0,6,0,6,2,0,7,8,6,5,8,8,1,4,2, ,3, , ,1, ,2, ,4,3, 
1006,25252,677,0,29,1,4069,4, , ,1, , ,2,1,0, , ,6,6,8,4,3,4,5,2,7,8,8,2,5,7,1,5,6,6,7,5,0,4,4,6,5,6,5,6,7,5,0,5,7,9,6,7,6,7,8,8,8,4,7,3,6,0,0,1,2,7, ,1,1, , , , ,2,7,7,8,3,3,3,2,10,6,5,5,6,7,4,3,7,10,2,4,4,3,3,6,6,3,2,6,5,30,4,5,1,5,1,1,5,4,4,0,0,2,8,8,5,0,0,0,8,8,5,0,0,0,10,10,6,0,0,0,5,5,5,4,4, , , , ,2,1, ,2, , , , ,1, 
1006,25253,678,0,66,5,2490,.5, , , , ,1,0, ,1, , ,8,7,8,9,10,10,7,7,8,8,9,6,5,5,6,5,9,2,2,5,2,7,2,8,8,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , ,5,6,8,8,8,8,2,6,7,9,4,8,8,3,0,7,1,0,8,4,7,8,6,4,1,8,4,6, ,1,7, , ,1,3,7,8,0,0,6,5,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,1, ,2, ,3,4, ,1, ,2, ,3, ,4
1006,25265,679,0,59,4,2770,1, , , , ,1,0, ,1, , ,8,8,6,7,8,8,8,7,7,7,5,5,5,7,8,5,8,6,4,4,7,7,7,7,8,8,6,2,4,2,1,5,2,6,4,3,3,3,3,3,7,7,5,3,3,3,3,3,1,8,1,1, , , , ,1,0,6,9,8,8,8,7,1,1,9,7,2,7,7,2,2,7,3,2,7,4,7,7,6,7,2,3,0,5, , ,1,4, ,1,1,7,7,3,3,2,4,7,7,7,7,6,6,2,2,2,2,2,2,6,3,5,4,2,2,6,2,3,6,6,3,7,2,6,4,1,6,2,7,3,5,4,1,3
