unemployment_rate, registered_mental_health, perc_parents_schools, perc_membership_groups, new_dwellings, drug_and_alcohol, perc_children_vulnerable_one, perc_poor_health, perc_people_18_smokers, acsc_vaccine_preventablem, perc_persons_not_physical, lga_code, total_offences, gaming_machine_losses, perc_at_risk_alcohol, perc_households_income_650, perc_persons_not_fruitveg, perc_pop_higher_education, perc_persons_overweight_obese, median_house_price
3.84839650145773,12.2234656107429,0.4331,0.7427,1.20513041232676,21.6923474218817,18.6666666666667,16.8625,23.1683,1.03296892485151,26.0969,22250,55.8664026857192,165.8349,13.9,0.440954467981495,60.3187,0.210084033613445,0.510165,140000.0
5.16334837901482,7.9402029375562,0.4135,0.6763,9.16471616166126,3.37378903933111,13.831899404368,12.9318,13.5915,0.535724535545961,25.8887,26980,38.7651287971071,453.6777,8.8824,0.281805407868753,44.3625,0.541612359452931,0.46104,705888.0
4.47403860541673,25.0413553134448,0.5626,0.7441,3.47955051052421,4.73447036677885,15.4255319148936,16.4382,18.9981,0.741543551423193,20.9095,26260,52.0784553077406,489.0196,16.4002,0.387489975942261,47.6137,0.295281582952816,0.592417,185000.0
4.13303196641912,9.48266187857704,0.5358,0.6331,4.5355927131261,4.11476452324842,19.3160813308688,15.5455,17.1151,0.52369730295889,26.7304,24410,55.1508856095463,831.4869,10.4,0.265298054386807,45.2593,0.365910498834774,0.480442,520000.0
2.87666307083783,8.71269875844043,0.6324,0.7679,1.30690481376606,4.79198431714223,18.75,16.9391,23.1695,0.435634937922021,21.4392,26890,21.5270747113919,0.0,12.3842,0.433940105695831,54.5202,0.231472081218274,0.614828,104000.0
4.1941326682107,5.00041949828006,0.6214,0.6626,6.04077523282155,2.04715160667841,14.2127659574468,14.601,14.5874,0.696367144894706,28.4712,24210,28.9538325362866,686.8253,5.2,0.233084556712868,42.6425,0.523976131706966,0.455692,750000.0
4.23832923832924,13.8735614062746,0.6694,0.7018,3.46839035156866,2.68011981712124,27.6923076923077,13.2158,17.3616,0.0,21.318,26670,32.3810026801198,80.8267,11.6352,0.429016466399644,44.9083,0.256916996047431,0.567042,142000.0
3.53491480120281,9.67558338076266,0.7814,0.7807,1.56516789982925,3.41491178144565,24.1935483870968,15.9112,23.2273,1.70745589072282,26.0478,21270,48.9025327262379,0.0,9.5,0.509160305343511,51.0459,0.281509916826615,0.597116,88000.0
6.97097602367173,25.084196771997,0.5631,0.662,5.46588880504997,10.0299979755967,24.8713550600343,20.5693,18.2346,0.699339308390231,27.9279,24780,90.252654728822,603.4244,15.4,0.392401490346618,53.1676,0.278756385414832,0.569159,210000.0
5.2105527314342,6.57516457468738,0.3933,0.5517,8.83990002307761,3.9310174881385,25.9526558891455,23.3914,20.0845,0.606276329016385,31.2431,21610,53.3648152421781,625.3168,10.7357,0.232065306609757,51.9408,0.269684936060039,0.536367,375000.0
4.95283507826267,14.0743087296918,0.4319,0.722,5.83789654704259,9.27727745847853,23.6514522821577,17.407,21.4964,0.99561026383672,26.0895,21750,56.6846947549441,446.4532,11.7,0.393968082228834,52.0784,0.260473933649289,0.508186,245000.0
4.35553454287572,14.0425003106748,0.5448,0.6973,3.3552876848515,5.21933639865788,23.5955056179775,21.0299,20.3798,0.621349571268796,23.5043,23940,46.3840561700013,0.0,12.1,0.523937060595916,52.9642,0.257767548906789,0.553671,145000.0
6.35763859138034,27.2012800602381,0.8182,0.6772,3.85900512965316,10.965221892795,15.1394422310757,17.3993,20.627,0.658854534331027,31.6466,22410,69.0761729963763,418.2733,14.0,0.381004969630039,49.5555,0.241918879967058,0.589984,201500.0
3.19004344002345,15.9587090650214,0.5689,0.6663,7.35643094447081,4.50878025628856,17.4757281553398,11.9908,19.2473,0.889890840056953,24.2216,25490,32.4581869957285,0.0,13.9,0.348994549896636,50.7626,0.284036972270797,0.519018,297500.0
3.49472151437932,25.9221194472993,0.5414,0.6837,2.51227589357086,3.9397053785543,18.5567010309278,19.191,14.3282,1.14194358798675,20.4531,21830,35.28364736782,269.6331,16.4,0.380766621438263,49.952,0.258638473439917,0.548863,184750.0
4.57512352833526,13.659049120042,0.6517,0.7345,1.18203309692671,5.6474914630943,28.9855072463768,19.3305,22.5393,1.57604412923562,21.4527,27630,37.1039532440242,0.0,11.1,0.486400565171318,50.4686,0.242550655542312,0.580476,84000.0
5.33769291917268,12.5101101844363,0.6182,0.5731,8.94999933703709,5.36999960222225,21.3675213675214,21.9776,17.4718,0.961296225089169,29.8629,25250,69.5173318394569,577.43,5.6,0.345135547238559,46.4955,0.542829129155896,0.47291,590000.0
3.77232142857143,15.1219512195122,0.5559,0.7026,1.30081300813008,6.50406504065041,29.4117647058824,16.7503,22.5365,1.78861788617886,32.7038,22980,28.0404390243902,0.0,8.8,0.49055018899622,55.3948,0.264180264180264,0.558206,81000.0
5.13388060342975,14.5314353499407,0.5491,0.6604,5.83234480031633,14.8774219058917,18.3856502242152,17.9569,13.3304,0.642546461051799,29.5961,23190,87.0338671411625,623.3249,9.8,0.379553635709143,50.1943,0.290490916119057,0.539213,185000.0
3.41940079241419,9.41461595824012,0.3987,0.6518,65.1773137791035,5.69641229596487,27.906976744186,16.3458,12.3222,0.46607009694258,20.4257,24600,273.143430483056,711.7313,10.1,0.312584199799648,42.6567,0.732963621567859,0.347425,805000.0
4.06639255048978,9.87861419817805,0.5053,0.6395,16.6119149134456,4.91600848069709,22.4669603524229,15.0738,17.5935,0.396076512662799,29.6508,20830,44.5951259290324,400.6032,11.0,0.357961979527438,48.9811,0.287300864815658,0.512713,265000.0
